#x,y,z,Mass,SM,GALEX_FUV,GALEX_NUV,SDSS_r,g_minus_r,u_minus_r
5.241838,63.093086,49.071888,67591114752.000000,4157095936.000000,-15.616245,-15.761252,-18.771696,0.518538,1.546953
89.398270,63.887802,11.599154,67788435456.000000,1361171712.000000,-15.963274,-16.065235,-18.138966,0.367931,1.276657
30.253899,33.773335,3.541757,68348448768.000000,5266728960.000000,-16.984917,-17.039162,-19.361792,0.377819,1.237600
99.561607,49.925030,57.745781,68484993024.000000,1771574784.000000,-16.339754,-16.353186,-18.449680,0.366802,1.195721
86.360527,7.098037,28.687922,68528082944.000000,1199292544.000000,-16.300259,-16.409945,-18.343481,0.311174,1.125315
38.064720,26.194086,95.669327,69146394624.000000,1119444096.000000,-16.014904,-16.083361,-18.110271,0.352123,1.275990
6.340925,55.368206,47.602840,69283225600.000000,9688891392.000000,-14.712413,-15.229542,-19.582840,0.595762,1.747965
24.892853,9.496862,19.978540,69617221632.000000,1119295744.000000,-16.918875,-16.954405,-18.531431,0.255863,1.028803
64.559334,46.207611,39.308048,69698912256.000000,1708080768.000000,-17.078978,-17.165720,-19.019413,0.198994,0.982487
26.081758,86.301277,66.117416,69781979136.000000,2770519552.000000,-16.260681,-16.347012,-18.829655,0.392139,1.250694
92.299088,69.567787,58.757408,70386524160.000000,1844554368.000000,-17.084145,-17.096098,-18.827188,0.276009,1.053566
40.404884,45.611797,97.734482,70591815680.000000,3811781888.000000,-15.713977,-15.849178,-18.804993,0.463505,1.405663
3.138037,75.421082,50.507786,70619103232.000000,6195977216.000000,-16.442318,-16.610987,-19.534067,0.478203,1.502523
84.883362,97.386520,33.865028,70959890432.000000,12588931072.000000,-17.591028,-17.736446,-20.395308,0.306097,1.071278
35.414444,85.393654,83.876404,71089242112.000000,1523139456.000000,-15.832464,-15.883959,-18.275484,0.356331,1.202816
15.552449,60.484882,15.816292,71266385920.000000,1195554688.000000,-14.664285,-15.081563,-17.968090,0.458942,1.632067
85.784859,54.004692,25.396154,71267672064.000000,3714369280.000000,-16.078365,-16.144604,-18.841103,0.485594,1.464441
