#x,y,z,d_per(Mpc),d_long(Mpc),length_fil(Mpc),Mass,SM,GALEX_FUV,GALEX_NUV,SDSS_r,g_minus_r,u_minus_r
35.741459,69.048195,10.916476,0.273011,116.299027,17.948226,494894743552.000000,14727932928.000000,-17.034199,-17.149261,-20.063242,0.579733,1.705999
31.314119,65.724167,10.214669,0.898332,0.416944,12.872889,651873091584.000000,16991188992.000000,-18.472866,-18.535334,-20.686747,0.412060,1.301022
36.787113,69.625412,11.895351,0.113637,142.433156,17.948226,722977882112.000000,14465654784.000000,-17.577057,-17.749460,-20.594902,0.420748,1.410053
30.412115,65.431366,10.124216,0.000041,0.000000,12.872889,5177777061888.000000,48489054208.000000,-17.421740,-17.608068,-20.826305,0.503202,1.490881
10.376762,40.267204,0.275403,0.131357,0.000000,6.878692,50163060736.000000,1992064256.000000,-16.603741,-16.677092,-18.775171,0.234262,0.907839
10.087937,40.087063,0.169128,0.308340,0.000000,6.878692,53186441216.000000,1020635264.000000,-16.780622,-16.768812,-18.237291,0.205070,0.839663
11.119416,39.680904,0.589075,0.354735,11.098569,6.878692,388694736896.000000,9692262400.000000,-16.996267,-17.076147,-19.754963,0.534729,1.611919
11.122397,40.292522,0.999271,0.777084,10.456177,6.878692,446285774848.000000,6714239488.000000,-15.523322,-15.796905,-19.389877,0.487055,1.510431
10.366922,40.137089,0.290577,0.000009,0.000026,6.878692,6891264540672.000000,119303217152.000000,-16.268906,-16.940712,-21.748701,0.718147,2.201601
37.857578,52.649555,0.089992,0.840562,376.865110,38.219512,265650782208.000000,7297889792.000000,-15.166991,-15.503164,-19.301453,0.565956,1.721455
37.578571,59.260174,4.182585,0.556065,200.843009,26.516928,308037877760.000000,3981530368.000000,-15.994869,-16.100979,-18.725277,0.522577,1.593586
36.725899,60.906002,4.747360,0.000002,232.226718,16.283358,315849965568.000000,4810340352.000000,-15.886765,-16.006498,-19.042397,0.508774,1.524727
57.213799,38.730598,0.176627,0.000002,369.152073,14.187997,185400541184.000000,1268086400.000000,-16.538670,-16.583242,-18.374912,0.275541,1.018150
59.833168,33.609364,11.640158,0.609599,48.410488,28.527473,266452271104.000000,3561332480.000000,-17.266106,-17.360296,-19.460297,0.319147,1.171827
58.837193,33.862709,11.628276,0.356034,0.000000,29.859878,291250798592.000000,8614844416.000000,-17.306660,-17.350441,-19.745665,0.454424,1.433411
56.819843,38.596813,0.328693,0.211828,369.008209,28.527473,316417835008.000000,1952974592.000000,-16.550440,-16.588627,-18.624069,0.335979,1.147421
