,Metal,SM,g_minus_r,u_minus_r,x,y,z
10374,0.0171979963779,13725116416.0,0.377742767334,1.26468086243,42.335735321,98.9195632935,0.823135852814
10396,0.0163022410125,8136527360.0,0.342277526855,1.16466712952,65.2520141602,20.9677772522,21.4676589966
10435,0.0187002327293,11343788032.0,0.400688171387,1.33328056335,32.1961975098,96.6128540039,7.96807765961
10440,0.0177034363151,8908559360.0,0.44359588623,1.36786842346,32.5927963257,66.9567718506,15.0792894363
10477,0.0179303698242,8495116288.0,0.445384979248,1.3516254425,5.19200372696,52.6546363831,36.7845802307
10480,0.0182117428631,13206226944.0,0.453727722168,1.42701339722,66.1123657227,27.8197879791,22.5789432526
10484,0.0227832812816,39856111616.0,0.685470581055,2.02882957458,87.8243103027,49.8750648499,5.02750349045
10489,0.0220874808729,11779508224.0,0.432828903198,1.35886192322,77.9322433472,53.9488143921,8.5131521225
10492,0.0132548203692,4359781376.0,0.317539215088,1.15103721619,33.2723617554,68.8489990234,22.0966758728
10498,0.0190998036414,11602760704.0,0.431701660156,1.41766357422,52.2118034363,17.7674884796,28.6346378326
10517,0.0221971217543,16314403840.0,0.556522369385,1.6827545166,89.1953201294,50.4829978943,3.63780927658
10542,0.0171784926206,6442201600.0,0.398488998413,1.28409385681,69.7270889282,33.8635368347,20.9314289093
10561,0.0174467638135,10555706368.0,0.363981246948,1.23109436035,47.6070709229,74.8679580688,8.12830448151
10568,0.0199287459254,9153442816.0,0.521287918091,1.56440544128,82.5910873413,49.3238868713,5.644759655
10574,0.0189322307706,12033838080.0,0.514106750488,1.60034370422,53.5195465088,15.2882661819,25.1383838654
10577,0.0164956450462,9585786880.0,0.391267776489,1.31084823608,86.5862350464,26.3579921722,9.83949375153
10586,0.0160140637308,5238041088.0,0.399789810181,1.30525970459,36.4510002136,97.8972167969,4.50562095642
10605,0.0162120107561,4332179968.0,0.416994094849,1.34255981445,35.5747032166,7.6320939064,40.7686576843
10611,0.0195501800627,8857336832.0,0.423007965088,1.34770202637,57.8408470154,22.783782959,23.0381698608
10613,0.0180352535099,9223019520.0,0.450506210327,1.41496086121,6.86141443253,73.9875030518,27.8539485931
10647,0.0184492841363,5933162496.0,0.526832580566,1.64698982239,34.9688491821,74.3871383667,15.7167835236
10648,0.0192419048399,6927979008.0,0.514278411865,1.6727848053,4.82961654663,4.84047174454,54.6410675049
10676,0.0141518870369,4756993536.0,0.356653213501,1.31033706665,67.3359451294,69.9333496094,6.83347940445
10678,0.0207694545388,11127305216.0,0.407686233521,1.31261634827,84.0989532471,49.2444915771,3.47017192841
10694,0.0223101843148,8527063552.0,0.57592010498,1.72001266479,2.10951137543,17.0639724731,46.315372467
10707,0.0182593353093,12710169600.0,0.472913742065,1.48564338684,82.2441329956,49.3358001709,7.83880186081
10708,0.0168307926506,10559217664.0,0.376735687256,1.2280960083,55.3907470703,78.8179168701,10.2499504089
10711,0.0166733767837,9591956480.0,0.380096435547,1.2664604187,38.5376815796,66.9625930786,19.484910965
10745,0.0156597364694,6437719552.0,0.425584793091,1.36787033081,5.69973516464,56.3116111755,34.6127586365
10765,0.0207782853395,36574486528.0,0.568035125732,1.70946884155,60.755645752,33.117061615,20.3869018555
10767,0.0181716065854,9494982656.0,0.583337783813,1.7329826355,43.1920318604,12.0977668762,36.0989151001
10768,0.0171359162778,12317494272.0,0.448301315308,1.43058586121,65.2609329224,10.5526380539,24.9083442688
10776,0.0216449033469,57922342912.0,0.781064987183,2.43501281738,60.3745727539,29.8292617798,22.3294353485
10802,0.0163873881102,8320605184.0,0.380186080933,1.26743125916,54.5931777954,23.3591537476,27.4492702484
10807,0.016224052757,6653125632.0,0.327695846558,1.14402961731,23.6406803131,62.9087409973,22.2823677063
10808,0.0248292498291,84316520448.0,0.789079666138,2.47525787354,85.0448379517,47.8802032471,8.48609256744
10842,0.0204992555082,9652595712.0,0.370109558105,1.19187545776,5.02984428406,95.45753479,21.3709201813
10860,0.0185757856816,13866722304.0,0.437299728394,1.36105537415,62.3041763306,28.0152301788,25.1694984436
10870,0.0134396003559,3403664128.0,0.196670532227,0.835683822632,57.5344009399,83.8547821045,6.0535402298
10871,0.0162185803056,8325215744.0,0.359643936157,1.20735931396,72.5137786865,34.8850097656,18.4381389618
10874,0.0211840011179,16447022080.0,0.612461090088,1.85479354858,60.7002639771,38.843044281,21.913608551
10880,0.015212812461,4768009728.0,0.449739456177,1.43664169312,72.9393539429,59.0691757202,9.89855194092
10898,0.0221990644932,12548799488.0,0.425542831421,1.32363319397,73.4502410889,24.2602958679,20.331949234
10900,0.0170468501747,7125094912.0,0.504728317261,1.52810287476,79.9305267334,50.0863265991,4.81165981293
10917,0.0150903621688,8711305216.0,0.345308303833,1.2197265625,23.5689277649,89.8242111206,14.807299614
10921,0.017071351409,11770763264.0,0.436681747437,1.36116409302,84.7365112305,42.1265144348,4.65556335449
10935,0.0210161544383,11619680256.0,0.500356674194,1.52219963074,92.6356582642,43.4621276855,8.88916969299
10937,0.0164325423539,7419276288.0,0.32137298584,1.10842514038,59.4522285461,58.1757011414,13.1055374146
10942,0.0210674311966,10977562624.0,0.415761947632,1.27260398865,50.8477745056,97.7630310059,4.31109952927
10951,0.0150114139542,6824968704.0,0.31688117981,1.16016769409,57.883518219,26.0570316315,24.0500068665
10960,0.0177429076284,9205675008.0,0.419086456299,1.37232398987,57.2813072205,17.190662384,22.762172699
10974,0.0192308835685,9931718656.0,0.387502670288,1.28678321838,90.0510253906,21.752746582,16.2869548798
10986,0.0215752813965,25951467520.0,0.5755443573,1.72110748291,64.1321105957,32.5524291992,21.421869278
10988,0.0249770078808,48446980096.0,0.783002853394,2.4495677948,85.0200500488,46.8478889465,6.98829746246
10991,0.0142757594585,7392524288.0,0.28028678894,1.05566596985,1.1436675787,11.6333637238,50.9247283936
10996,0.018930580467,11583025152.0,0.491655349731,1.53611755371,35.2973365784,11.1611881256,34.561504364
11013,0.0204278379679,7309801984.0,0.452091217041,1.3832950592,95.0642776489,14.7313117981,18.1023979187
11016,0.0260976608843,45366661120.0,0.724794387817,2.18839836121,85.1315460205,48.9055290222,7.81315803528
11025,0.0184687972069,32913014784.0,0.732591629028,2.3109664917,83.980506897,46.770526886,8.48103618622
11070,0.0189749281853,13311126528.0,0.40770149231,1.35482597351,82.8841247559,45.3080558777,8.20547199249
11085,0.0178865808994,12513743872.0,0.746059417725,2.30752563477,84.4730911255,50.2238082886,1.82431089878
11102,0.0254010632634,47157854208.0,0.425539016724,1.33022499084,46.9668464661,79.3422470093,10.479262352
11139,0.0206926446408,15121178624.0,0.557256698608,1.65468597412,33.2350463867,95.932220459,5.35340070724
11144,0.0155116571113,7053016576.0,0.623365402222,1.92189979553,50.8485183716,78.6642074585,9.79217720032
11148,0.0179186742753,12724408320.0,0.447999954224,1.41666030884,36.6453399658,1.45886492729,36.879989624
11154,0.0175360944122,11652418560.0,0.328214645386,1.12975883484,88.3995132446,51.6665077209,5.2648396492
11163,0.0191162396222,10783890432.0,0.543533325195,1.64356231689,84.4701461792,30.2175693512,10.631403923
11172,0.0202009435743,19886487552.0,0.49235534668,1.50862884521,92.4998321533,58.9503135681,3.50222039223
